Date/Time,MEGS_A1
1/27/2011 8:0:32,0.317341
1/27/2011 8:1:32,0.317747
1/27/2011 8:2:32,0.315624
1/27/2011 8:3:32,0.31591600000000003
1/27/2011 8:4:32,0.316576
1/27/2011 8:5:32,0.315516
1/27/2011 8:6:32,0.318514
1/27/2011 8:7:32,0.31636400000000003
1/27/2011 8:8:32,0.31486699999999995
1/27/2011 8:9:32,0.31517300000000004
1/27/2011 8:10:32,0.315468
1/27/2011 8:11:32,0.31662999999999997
1/27/2011 8:12:32,0.31583700000000003
1/27/2011 8:13:32,0.317436
1/27/2011 8:14:32,0.31748699999999996
1/27/2011 8:15:32,0.315602
1/27/2011 8:16:32,0.31601300000000004
1/27/2011 8:17:32,0.31657
1/27/2011 8:18:32,0.317753
1/27/2011 8:19:32,0.31739
1/27/2011 8:20:32,0.31644300000000003
1/27/2011 8:21:32,0.31750300000000004
1/27/2011 8:22:32,0.31602
1/27/2011 8:23:32,0.316467
1/27/2011 8:24:32,0.31693
1/27/2011 8:25:32,0.317656
1/27/2011 8:26:32,0.316237
1/27/2011 8:27:32,0.314679
1/27/2011 8:28:32,0.31707399999999997
1/27/2011 8:29:32,0.31560099999999996
1/27/2011 8:30:32,0.318038
1/27/2011 8:31:32,0.316719
1/27/2011 8:32:32,0.319026
1/27/2011 8:33:32,0.31917300000000004
1/27/2011 8:34:32,0.31898400000000005
1/27/2011 8:35:32,0.317488
1/27/2011 8:36:32,0.317713
1/27/2011 8:37:32,0.316321
1/27/2011 8:38:32,0.319278
1/27/2011 8:39:32,0.318707
1/27/2011 8:40:32,0.320021
1/27/2011 8:41:32,0.318335
1/27/2011 8:42:32,0.316396
1/27/2011 8:43:32,0.317641
1/27/2011 8:44:32,0.316814
1/27/2011 8:45:32,0.31312
1/27/2011 8:46:32,0.314411
1/27/2011 8:47:32,0.31496999999999997
1/27/2011 8:48:32,0.31355700000000003
1/27/2011 8:49:32,0.317599
1/27/2011 8:50:32,0.31453
1/27/2011 8:51:32,0.316445
1/27/2011 8:52:32,0.317801
1/27/2011 8:53:32,0.316117
1/27/2011 8:54:32,0.31711100000000003
1/27/2011 8:55:32,0.316306
1/27/2011 8:56:32,0.316733
1/27/2011 8:57:32,0.315619
1/27/2011 8:58:32,0.317708
1/27/2011 8:59:32,0.317866
1/27/2011 9:0:32,0.315756
1/27/2011 9:1:32,0.31809600000000005
1/27/2011 9:2:32,0.31867
1/27/2011 9:3:32,0.31726699999999997
1/27/2011 9:4:32,0.31785199999999997
1/27/2011 9:5:32,0.316621
